CD_MUN;NM_MUN;V00001;V00002;V00003;V00004;V00005;V00006;V00007;V00008;V00009;V00010;V00011;V00012;V00013;V00014;V00015;V00016;V00017;V00018;V00019;V00020;V00021;V00022;V00023;V00024;V00025;V00026;V00027;V00028;V00029;V00030;V00031;V00032;V00033;V00034;V00035;V00036;V00037;V00038;V00039;V00040;V00041;V00042;V00043;V00044;V00045;V00046;V00047;V00048;V00049;V00050;V00051;V00052;V00053;V00054;V00055;V00056;V00057;V00058;V00059;V00060;V00061;V00062;V00063;V00064;V00065;V00066;V00067;V00068;V00069;V00070;V00071;V00072;V00073;V00074;V00075;V00076;V00077;V00078;V00079;V00080;V00081;V00082;V00083;V00084;V00085;V00086;V00087;V00088;V00089
3544400;Rubiácea;998;0;0;998;2693;0;0;380;0;0;1347;0;0;1346;0;0;186;298;267;158;64;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2693;380;1347;1346;186;298;267;158;64;9;0;0;0;0;2693;0;0;380;0;0
3544509;Rubinéia;1497;0;0;1497;3815;6;0;389;0;0;1885;4;0;1930;0;0;292;575;312;186;64;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1478;14;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3815;389;1885;1930;292;575;312;186;64;16;0;0;0;0;3777;30;7;388;0;0
3544608;Sabino;2035;0;0;2035;5112;0;0;521;0;0;2486;0;0;2626;0;0;470;678;471;269;89;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1965;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5112;521;2486;2626;470;678;471;269;89;16;0;0;0;0;4947;164;0;507;14;0
3544707;Sagres;917;0;0;917;2469;4;0;307;0;0;1195;3;0;1274;0;0;184;284;213;141;65;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2469;307;1195;1274;184;284;213;141;65;17;0;0;0;0;2468;0;0;307;0;0
3544806;Sales;2466;0;0;2466;6400;0;21;692;0;0;3138;0;20;3262;0;0;473;855;588;355;128;31;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6400;692;3138;3262;473;855;588;355;128;31;3;0;0;0;6399;0;0;692;0;0
3544905;Sales Oliveira;4091;0;27;4091;11362;3;27;1292;0;0;5487;0;11;5875;3;12;645;1271;1090;708;245;58;16;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;4072;8;4;5;0;0;0;0;0;0;0;0;23;4;0;0;0;0;0;0;0;0;0;11362;1292;5487;5875;645;1271;1090;708;245;58;16;0;0;0;11323;20;10;1291;0;0
3545001;Salesópolis;5393;0;132;5393;15044;4;138;1850;0;0;7490;0;26;7554;0;112;1026;1581;1302;840;388;115;35;4;0;0;0;0;0;0;0;0;0;0;0;0;130;0;0;0;0;0;0;0;0;0;5324;22;33;3;0;0;0;0;0;0;0;0;0;0;0;0;132;0;0;0;0;0;0;15044;1850;7490;7554;1026;1581;1302;840;388;115;35;4;0;0;14881;70;73;1822;12;9
3545100;Salmourão;1798;0;20;1798;4788;0;20;608;0;0;2403;0;14;2385;0;6;363;540;426;317;111;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;1792;5;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;4788;608;2403;2385;363;540;426;317;111;23;0;0;0;0;4770;18;0;605;0;0
3545159;Saltinho;2913;0;0;2913;8155;0;0;876;0;0;4004;0;0;4151;0;0;397;928;810;533;158;54;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2870;14;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8155;876;4004;4151;397;928;810;533;158;54;6;0;0;0;8046;39;66;852;7;16
3545209;Salto;46786;5;190;46786;134069;23;193;17022;3;4;65689;15;79;68380;4;109;6890;13943;12314;8705;3186;1013;266;44;13;12;0;0;0;0;0;0;0;0;0;0;190;0;0;0;0;0;0;0;0;0;38647;2974;4996;62;0;25;0;4;0;0;0;0;147;0;10;0;0;15;0;0;18;0;0;134069;17022;65689;68380;6890;13943;12314;8705;3186;1013;266;44;13;12;112971;8494;12262;13918;1180;1846
